"id","nom_sous_cat","main_category_id"
0,"Restauration rapide",8
1,"Châteaux & Fortifications",18
2,"Religieux",18
3,"Côtes & littoral",0
4,"Sports de balle & raquette",13
5,"Artisanat",9
6,"Eau & Milieux humides",0
7,"Commerces",9
8,"Bibliothèques & médiation",10
9,"Loisirs indoor",13
10,"Producteurs",8
11,"unknown",7
12,"Antiquités & brocante",9
13,"Restaurants",8
14,"Marchés",9
15,"Parcs & loisirs",3
16,"unknown",12
17,"Éducation & apprentissage",3
18,"Forêts & milieux naturels",0
19,"Aire de pique-nique",6
20,"Sports équestres",13
21,"Religieux",6
22,"Trains & bus touristiques",15
23,"unknown",4
24,"Zoo & animaux",3
25,"Spectacle vivant",10
26,"Bars & cafés",8
27,"unknown",1
28,"Rencontres & conférences",10
29,"Sports nautiques",13
30,"Paysages remarquables",0
31,"Montagne & Relief",0
32,"unknown",16
33,"Ouvrages d'art",18
34,"Produits locaux",8
35,"Antiquité & Vestiges",18
36,"Golf & mini-golf",13
37,"Musées & expositions",10
38,"Téléphériques & remontées",15
39,"Eau vive & cascades",0
40,"Aires & jeux",3
41,"Patrimoine rural & agricole",18
42,"Thermalisme",2
43,"Sports collectifs & stades",13
44,"Cinéma & audiovisuel",10
45,"unknown",14
46,"Jeune public",10
47,"Géologie & curiosités",0
48,"Sports mécaniques",13
49,"Patrimoine civil",18
50,"Sports outdoor",13
51,"Concerts & musique",10
52,"unknown",17
53,"Fêtes & traditions",6
54,"Festivals & grands événements",10
55,"Soins & bien-être",2
56,"unknown",5
57,"Foires & salons",9
58,"Cimetières & mémoriaux",18
59,"unknown",11
60,"Glace & haute montagne",0
61,"Sports d'hiver",13
62,"Thalasso & balnéo",2
63,"Aventure & accrobranche",13
64,"Défilés & parades",6
65,"Vins & spiritueux",8
